Name,FIDE ID,Title,Rating (Standard),Rating (Rapid),Rating (Blitz),Federation,Birth Year,Age,Last Rated Game,Games (12mo),Games (24mo),Years Since Last Game,Status,Plays Opens,Travel Range,Americas Experience,Chess960,Chess960 Notes,Crypto Connection,Crypto Notes,Content Creator,Social Handles,Schedule Conflicts,AI Summary,My Odds,My Notes
"Kovalenko, Igor",14117908,GM,2682,,,UKR,1988,38,,,,,active,regularly,continental,unknown,yes,Biel International Chess Festival,yes,"Participated in chess tournaments offering Bitcoin as prizes, including the FTX Crypto Cup competing for $100,000 in Bitcoin",yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the search results, Igor Kovalenko appears to be an active tournament player who regularly participates in international open and classical tournaments, including recent 2025 events in Ukraine, Poland, and other European locations. However, his documented travel pattern shows primarily European tournament participation, with no evidence of playing in the Americas or Central America specifically. While he has the activity level and tournament participation history that could suggest openness to international events, there is no specific information about his 2026 schedule or previous travel to regions like Honduras to assess likelihood of attendance.",,
"Svidler, Peter",4102142,GM,2682,,,FID,1976,50,,,,,retired,unknown,unknown,unknown,yes,Fischer Random Chess match against The Baron chess program 2005; Fischer Random Chess tournament in Mainz 2002; FIDE World Fischer Random Chess Championship,yes,"Participated in 2021 FTX Crypto Chess Cup, a bitcoin-prized chess tournament, competing against Alexander Grischuk",yes,Twitch: unknown handle but confirmed he streams on Twitch; YouTube: Kasparovchess channel,,"Based on the search results, Peter Svidler retired from competitive play in 2020 and now focuses on streaming chess on platforms like Twitch and YouTube rather than tournament competition. While he has shown recent activity in specific events like the Jerusalem Masters series and other named tournaments, there is no evidence he participates in open tournaments, and his current engagement appears limited to select invitational events rather than general open competition. Given his retired status from competitive play and apparent focus on streaming/commentary work, attendance at an open tournament in Honduras would be highly unlikely.",,
"Harikrishna, Pentala",5007003,GM,2679,,,IND,1986,40,,,,,active,regularly,global,yes,yes,Chess960 (Fischer Random) Junior Chess Championship 2006,no,No connection mentioned despite having a crypto/bitcoin info section,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,2025/26 German Bundesliga,"Based on the search results, Pentala Harikrishna is an active grandmaster (rated 2679) who regularly participates in international open tournaments including the Tata Steel Masters, U.S. National Championships, and has global travel patterns spanning from Europe to the Americas. However, he appears to focus on high-profile tournaments and has committed to the 2025/26 German Bundesliga, which could create scheduling conflicts with a February/March 2026 timeframe. While he has demonstrated willingness to travel internationally for tournaments, an open tournament in Honduras would be unusual given his typical participation in major championship-level events.",,
"Bluebaum, Matthias",24651516,GM,2679,,,GER,1997,29,,,,,active,regularly,unknown,unknown,yes,2022 FIDE World Fischer Random Chess Championship; European Chess Championship,yes,Known for his involvement in cryptocurrency discussions,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,Tata Steel Chess Masters 2026,"Based on the research, Matthias Bluebaum is an active grandmaster (rated 2679) who regularly plays in major tournaments and has shown strong recent activity, including qualifying for the Candidates Tournament in 2025. However, he is scheduled to debut in the prestigious Tata Steel Chess Masters 2026, which typically occurs in January-February and would likely conflict with a February/March tournament in Honduras. Given his high level and focus on elite events like the Grand Swiss and Candidates qualification, he would be unlikely to attend a smaller open tournament in Honduras during this period.",,
"Leko, Peter",703303,GM,2676,,,HUN,1979,47,,,,,unknown,regularly,global,unknown,yes,First Fischer Random Chess tournament winner (1996); Fischer Random Chess match vs Michael Adams (2001); Chess960 World Championship vs Peter Svidler (2003),yes,Participated in the Champions Chess Tour's FTX Crypto Cup,yes,Twitch: unknown handle; YouTube: unknown handle,,"Based on the search results, Peter Leko is an active grandmaster who regularly participates in FIDE events and international tournaments, as evidenced by his 2025 World Cup participation and upcoming events in Oslo and London. However, the search results show he typically plays in major organized events like Grand Chess Tour tournaments rather than general open tournaments, and there is no indication of previous activity in Central America or smaller regional opens. Given his apparent focus on high-level international circuit events and lack of known commitments or travel patterns to that region, his attendance at an open tournament in Honduras would be unlikely without specific invitation or compelling circumstances.",,
"Dubov, Daniil",24126055,GM,2672,,,RUS,1996,30,,,,,active,regularly,global,unknown,yes,Freestyle Chess Grand Slam Tour,yes,Participated in the Meltwater Champions Chess Tour which included a Bitcoin chess event,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,unknown,"Based on the research, Daniil Dubov is an active grandmaster who regularly participates in international tournaments, including recent events in Asia (2024 Shenzhen Longgang) and is scheduled for the 2025 FIDE World Rapid & Blitz Championships and Freestyle Chess Grand Slam Tour, demonstrating a willingness to travel globally for chess events. However, his tournament pattern appears focused on elite-level competitions like FIDE World Championships and major tours rather than typical open tournaments. While there are no known scheduling conflicts for Feb/March 2026, his participation in a Honduran open tournament would be unusual given his current focus on high-level international events.",,
"Howell, David W L",410608,GM,2668,,,ENG,1990,36,,,,,active,regularly,continental,unknown,yes,Fischer Random Chess competitions,yes,"Participated in the 2022 Champions Chess Tour FTX Crypto Cup, a chess tournament with cryptocurrency sponsorship. Known for chess achievements, not cryptocurrency.",yes,Twitch: HowellHub; YouTube: David Howell Chess,,"Based on the research, David W L Howell is an active grandmaster who regularly participates in open tournaments including the Bundesliga and British Championship, indicating he does play competitive events beyond elite invitationals. However, his documented travel appears primarily continental (Germany, UK) with no evidence of participation in Central American tournaments or similar remote locations. Given his active status and willingness to travel for tournaments, attendance at a Honduras open would be possible but relatively unlikely without additional incentives, as it would represent a significant departure from his typical European tournament circuit.",,
"Wojtaszek, Radoslaw",1118358,GM,2667,,,POL,1987,39,,,,,active,regularly,global,unknown,yes,Accentus Chess960 Masters in Biel; Grandmaster Triathlon,no,unknown,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,unknown,"Based on the research, Radoslaw Wojtaszek is an active grandmaster who regularly competes in international open tournaments and festivals, having recently participated in events like World Rapid 2025, Bundesliga 2025-26, and won major tournaments in Germany and Switzerland. His global tournament participation pattern and current activity level suggest he could potentially attend an open tournament in Honduras, though no specific 2026 commitments or previous Central American tournament history were found in the search results. As a strong player rated 2667 with a history of international travel for chess events, his attendance would depend on scheduling and tournament conditions rather than any apparent restrictions on his tournament participation.",,
"Martinez Alcantara, Jose Eduardo",3805662,GM,2667,,,MEX,1999,27,,,,,unknown,regularly,global,yes,yes,2022 Fischer Random World Championship Qualifier,no,No connection found despite CRYPTO/BITCOIN INFO section existing,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the search results, José Eduardo Martínez Alcántara appears to be an active chess professional who regularly participates in international open tournaments, including events like the Alcantara Chess Challenge and Grand Chess Tour, with recent activity in 2025 tournaments. His travel patterns show he competes globally, including in Europe (Oslo, London), suggesting he is willing to travel internationally for tournaments. However, no specific information was found about his 2026 schedule or previous participation in Central American tournaments, making it difficult to assess the likelihood of attendance at a Honduras event without additional factors like invitation, prize fund, or rating requirements.",,
"Donchenko, Alexander",24603295,GM,2665,,,GER,1998,28,,,,,active,regularly,continental,unknown,yes,2022 Fischer Random World Championship Qualifier,no,Known for involvement in blockchain-verified chess ratings but no known connection to Bitcoin or cryptocurrency,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,European Individual Chess Championship in Romania,"Based on the search results, Alexander Donchenko is highly active in 2025, regularly participates in open tournaments (recently winning the 2025 Czech Open), and travels internationally for chess events across Europe. However, there is no evidence from the search results that he has played in the Americas, and his documented tournament pattern shows primarily European events. While he appears to be an active player who competes in open tournaments, his travel history suggests he focuses on European competitions, making attendance at a Honduras tournament less likely but not impossible given his active tournament schedule.",,
"Bu, Xiangzhi",8601445,GM,2665,,,CHN,1985,41,,,,,retired,unknown,unknown,unknown,yes,Fischer Random Chess,no,There is no direct connection between Bu Xiangzhi and Bitcoin or cryptocurrency,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the search results, Bu Xiangzhi's attendance at an open tournament in Honduras in Feb/March 2026 appears highly unlikely. The information indicates he retired from competitive chess in 2021, though there's some conflicting data showing recent activity including winning the 2024 Shenzhen Masters and being scheduled for the 2025 China Chess King tournament. No information was found about his history of playing open tournaments or traveling internationally to smaller events, and there are no known commitments or travel patterns that would suggest participation in a tournament in Honduras.",,
"Kasimdzhanov, Rustam",14200244,GM,2664,,,UZB,1979,47,,,,,active,regularly,global,yes,yes,unknown,yes,"Has participated in cryptocurrency-related chess events, including the FTX Crypto Cup",yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the search results, Rustam Kasimdzhanov is an active elite grandmaster who regularly participates in high-level tournaments including the U.S. National Championships, American Cup, and Champions Showdown events, demonstrating both an active tournament schedule and willingness to travel internationally including to the Americas. However, his tournament pattern appears focused on prestigious invitational events rather than open tournaments, and as a former World Champion rated 2664, he would likely prioritize elite competitions over open events. While theoretically possible given his active status and global travel history, his participation in an open tournament in Honduras would be unlikely unless it offered significant appearance fees or had special significance.",,
"Vitiugov, Nikita",4152956,GM,2663,,,ENG,1987,39,,,,,active,regularly,global,unknown,yes,2022 FIDE World Fischer Random Chess Championship,no,No known connection to Bitcoin or cryptocurrency,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,Bundesliga 2025-26,"Based on the research, Nikita Vitiugov is an active grandmaster (rated 2663) who regularly participates in major international tournaments including the FIDE World Cup, London Classic Elite, and Bundesliga events, indicating he maintains a high level of competitive activity and travels globally for chess. However, the search results show he typically plays in prestigious elite tournaments rather than open events, and there are no indications he has previously competed in Central or South American tournaments. Given his apparent focus on high-level elite competitions and existing commitment to Bundesliga 2025-26, his attendance at an open tournament in Honduras would be unlikely unless there were exceptional circumstances or significant appearance fees.",,
"Anton Guijarro, David",2285525,GM,2662,,,ESP,1995,31,,,,,unknown,regularly,global,unknown,yes,Chess960; Fischer Random chess,no,No direct connection to Bitcoin or cryptocurrency found,yes,Twitch: unknown; YouTube: unknown,,"Based on the research, David Antón Guijarro appears to be an active grandmaster who regularly participates in high-profile open tournaments, including international events like the Tata Steel Masters and tournaments in diverse locations such as Abu Dhabi, indicating a willingness to travel globally for chess competitions. However, as a 2662-rated Spanish champion who typically plays in prestigious tournaments, his participation in a Honduran open tournament would likely depend on factors such as prize fund, tournament strength, and scheduling conflicts, which cannot be determined from the available information. There are no known commitments or conflicts identified for February/March 2026 that would prevent his participation.",,
"Grandelius, Nils",1710400,GM,2660,,,SWE,1993,33,,,,,unknown,regularly,global,unknown,yes,2022 FIDE World Fischer Random Chess Championship; grenke Freestyle Chess Open 2025,yes,"Has been involved in cryptocurrency, including a notable experience with a Bitcoin scam",yes,Twitch: nilsgrandelius; YouTube: unknown; Twitter: unknown,,"Based on the search results, Nils Grandelius appears to be an active tournament player who regularly participates in major open events like the FIDE World Cup, FIDE Grand Swiss, and other international tournaments, indicating he travels globally for chess competitions. However, the search results show no scheduled tournaments for 2026 and provide no evidence of him previously playing in Central America or smaller regional opens outside of major FIDE events. While theoretically possible given his active status, there's insufficient information to assess the likelihood of him attending a specific open tournament in Honduras in February/March 2026.",,
"Sargsyan, Shant",13306766,GM,2659,,,ARM,2002,24,,,,,active,regularly,global,unknown,unknown,,no,No crypto or bitcoin connection mentioned in the information provided,unknown,,,"Based on the research, Shant Sargsyan is an active grandmaster who regularly participates in international tournaments, including open events like the Al-Beruniy Masters and major FIDE competitions in 2025. As a young, globally active player (born 2002, GM since 2019, currently ranked #55 worldwide), he appears to travel internationally for chess tournaments. However, there is no specific information about his 2026 schedule or previous tournament activity in Central America, making it difficult to assess the likelihood of attendance at a Honduras open tournament without knowing the event's prize fund, field strength, or conflicting commitments.",,
"Erdogmus, Yagiz Kaan",44599790,GM,2658,,,TUR,2011,15,,,,,active,regularly,global,unknown,yes,Chess960 (Fischer Random) games mentioned,yes,Supports himself through cryptocurrency donations,yes,Twitch: unknown handle but has appeared on chess streams; YouTube: Yagiz Kaan Erdogmus,Tata Steel Chess Tournament 2026,"Based on the research, Yagiz Kaan Erdogmus is highly active in competitive chess and regularly participates in major international tournaments across diverse global locations including Jeddah, Marseille, Goa, and the Netherlands. However, he appears to focus primarily on elite invitational events like the FIDE Grand Swiss, Tata Steel Chess, and European Championships rather than open tournaments, and he has a confirmed commitment to Tata Steel Masters 2026 which could create scheduling conflicts with February/March events. While his global travel pattern suggests geographical accessibility wouldn't be a barrier, the combination of his preference for high-level invitational tournaments and existing 2026 commitments makes attendance at an open tournament in Honduras relatively unlikely.",,
"Oparin, Grigoriy",24125890,GM,2658,,,USA,1997,29,,,,,retired,regularly,global,yes,yes,knockout qualifier in 2019 against Vladimir Fedoseev; 2026 FIDE Freestyle Chess World Championship Play-In,no,No known involvement with Bitcoin or cryptocurrency,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,2026 FIDE Freestyle Chess World Championship Play-In,"Based on the search results, Grigoriy Oparin appears to be retired from competitive chess as of 2025, which significantly reduces the likelihood of him attending any tournaments in 2026. While he has previously participated in major international events like the FIDE World Cup and US Championship, and has traveled globally including a move to the United States in 2022, his retired status and commitment to the 2026 FIDE Freestyle Chess World Championship Play-In suggest he would be unlikely to participate in an open tournament in Honduras during Feb/March 2026.",,
"Xiong, Jeffery",2047640,GM,2656,,,USA,2000,26,,,,,active,regularly,global,yes,yes,2022 Fischer Random World Championship Finals; Fischer Random Chess tournaments; St. Louis Chess Club online tournaments,yes,Known for his participation in cryptocurrency-sponsored chess events and has earned significant prize money,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the research, Jeffery Xiong is an active grandmaster who regularly competes in open tournaments including the 2025 U.S. Masters Championship and FIDE Grand Swiss, with his latest tournament just one month ago. He has a global travel pattern for international events and participates in both traditional and online tournaments hosted by various organizations. However, there is no specific information about his 2026 tournament schedule or any previous activity in Central America, making it uncertain whether he would specifically attend an open tournament in Honduras during Feb/March 2026.",,
"Nguyen, Thai Dai Van",358878,GM,2656,,,CZE,2001,25,,,,,active,regularly,unknown,unknown,unknown,,yes,Known for his involvement with cryptocurrency,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the search results, Thai Dai Van Nguyen appears to be an active competitive player who participates in high-level tournaments like Tata Steel Masters and Prague Masters, suggesting he primarily plays elite invitational events rather than open tournaments. While he has demonstrated international travel for competitions and remains active as of 2026, there is no evidence of him participating in open tournaments or traveling to Central America, making attendance at an open tournament in Honduras unlikely unless there were specific compelling factors not evident in his typical tournament pattern.",,
"Christiansen, Johan-Sebastian",1512668,GM,2656,,,NOR,1998,28,,,,,active,regularly,global,yes,yes,unknown,no,No crypto or bitcoin connections mentioned in search results,yes,Twitch: gmjsc; YouTube: unknown; Twitter: unknown,,"Based on the search results, Johan-Sebastian Christiansen appears to be a good candidate for an open tournament in Honduras in Feb/March 2026. He regularly plays open tournaments (winning Mar del Plata Open in 2024), travels internationally for chess events, and remains active as of 2026 with no conflicting tournament commitments listed. As an active grandmaster who competes globally and has demonstrated willingness to travel to South America for open events, he would likely consider participating if invited.",,
"Saric, Ivan",14508150,GM,2655,,,CRO,1990,36,,,,,retired,unknown,continental,yes,unknown,,no,"Has no known association with Bitcoin or cryptocurrency, main focus remains on chess",yes,Twitch: unknown handle; YouTube: unknown handle,Bundesliga 2025/26,"Based on the search results, Ivan Šarić's attendance at an open tournament in Honduras in Feb/March 2026 appears unlikely. The research indicates he is retired from competitive chess, though there's conflicting information showing recent 2024 tournament participation and a scheduled commitment to Bundesliga 2025/26. Given that his documented tournament history shows participation in high-level European events and major tournaments like the Saint Louis Masters rather than open tournaments, and with no evidence of travel to Central America, a trip to Honduras would represent an unusual departure from his established patterns.",,
"Gledura, Benjamin",712779,GM,2654,,,HUN,1999,27,,,,,retired,regularly,continental,unknown,yes,Fischer Random Chess tournaments,yes,His profile is verified on Algorand blockchain,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,Bundesliga 2025-26,"Based on the search results, Benjamin Gledura is described as a retired Hungarian chess grandmaster, which would significantly reduce the likelihood of him traveling to compete in tournaments. However, there appears to be conflicting information as he reportedly participated in multiple tournaments in 2024-2025 including the Hungarian Super League and German Bundesliga, suggesting he may still be active despite the retirement claim. Given that no travel to the Americas was documented in his tournament history and Honduras would represent an unusual destination for a European-based player, attendance at such an event would be unlikely unless there were specific compelling circumstances.",,
"Morozevich, Alexander",4116992,GM,2653,,,RUS,1977,49,,,,,retired,unknown,unknown,unknown,yes,Fischer Random formats; Chess960,no,There is no known connection to Bitcoin or cryptocurrency,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the search results, Alexander Morozevich's attendance at an open tournament in Honduras in Feb/March 2026 appears highly unlikely. Although he officially retired from competitive chess in 2015, he has shown some recent activity by participating in the Aeroflot Open 2025 and Russia Team Blitz Chess 2025 in Sochi, suggesting he may selectively participate in events close to home or of particular significance. However, there is no evidence of him traveling to remote locations like Honduras for tournaments, and his limited recent activity appears focused on Russian events.",,
"Inarkiev, Ernesto",4162722,GM,2653,,,RUS,1985,41,,,,,active,regularly,global,unknown,unknown,,no,No connection found despite crypto/bitcoin section being present,yes,Twitch: unknown handle; YouTube: unknown handle,,"Based on the research, Ernesto Inarkiev is an active Russian grandmaster who regularly competes in international tournaments, including recent wins at the 2024 Region Group Cup and 2025 Russia Team Blitz, indicating a high activity level in open events. His travel history shows participation in geographically diverse locations like Sharjah and various European venues, demonstrating willingness to travel internationally for tournaments. However, there is no specific information about his 2026 schedule or previous participation in Central American tournaments, making his likelihood of attending a Honduras open tournament uncertain but not impossible given his active international competition pattern.",,
"Murzin, Volodar",44155573,GM,2652,,,FID,2006,20,,,,,retired,regularly,global,unknown,yes,Fischer Random (Chess960) tournaments,no,explicitly stated as not associated with Bitcoin or cryptocurrency,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the search results, Volodar Murzin is described as retired and ""no longer competing"" as of 2025, which would make his attendance at any tournament in 2026 unlikely. However, there appears to be conflicting information since he was reportedly scheduled for championships in December 2025 and had recent activity in open tournaments like the IV Menorca Open and Djerba Masters. If he were still active, his pattern of participating in international open tournaments and willingness to travel to diverse locations would suggest he could potentially attend such an event, though no specific 2026 commitments were found in the research.",,
"Deac, Bogdan-Daniel",1226380,GM,2652,,,ROU,2001,25,,,,,active,regularly,continental,unknown,yes,2023 Biel Chess Festival; Chess.com Freestyle Friday,no,"No crypto/bitcoin connection mentioned, only general chess tournament achievements and earnings",yes,Twitch: unknown; YouTube: unknown,,"Based on the research, Bogdan-Daniel Deac is an active Romanian grandmaster who regularly participates in open tournaments including the European Chess Club Cup, FIDE World Cup, and Romania Chess Classic, indicating he does play in open events. However, his documented tournament activity appears focused on European events and major international competitions, with no evidence of participation in Central American tournaments. While he remains active as of 2026, there is no information suggesting he has previously traveled to unusual or remote chess locations like Honduras, making attendance at a Honduran open tournament unlikely without additional incentives or circumstances.",,
"Shankland, Sam",2004887,GM,2651,,,USA,1991,35,,,,,unknown,regularly,global,yes,yes,2018 Champions Showdown,yes,"Participated in FTX Crypto Cup 2022 in Miami, competed when world's top 16 chess players competed in FTX Crypto Cup with $100000 in Bitcoin prizes",yes,Twitch: unknown handle but confirmed presence; YouTube: unknown handle but confirmed presence; Twitter: unknown,Tata Steel Chess Tournament 2026,"Based on the research, Sam Shankland appears to be an active chess professional who regularly participates in international tournaments, including open events like the Batumi Chess Open, and has a history of global travel to locations like Tromsø and Miami for competitions. However, he is already committed to the prestigious Tata Steel Chess Tournament in 2026, which typically occurs in January-February and would likely conflict with a February/March tournament in Honduras. Given his status as a top-level grandmaster (rated 2651) and 2018 US Champion, he would more likely prioritize elite invitational events over open tournaments during this period.",,
"Robson, Ray",2023970,GM,2650,,,USA,1994,32,,,,,retired,unknown,global,yes,yes,World Fischer Random Chess Championship 2019; competitions against Garry Kasparov in Chess 960,yes,Bitcoin has been used as a prize in some of his competitions,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the search results, Ray Robson's attendance at an open tournament in Honduras in Feb/March 2026 appears unlikely. The research indicates he retired in 2020, and while there is mention of 2025 tournament activity, his recent participation appears limited to high-profile invitational events like the US Chess Championship and Freestyle Chess Grand Slam Tour rather than open tournaments. Additionally, no information was found suggesting he typically plays in open tournaments or has traveled to Central America, making Honduras an unusual destination for his established tournament pattern.",,
"Eljanov, Pavel",14102951,GM,2649,,,UKR,1983,43,,,,,active,regularly,global,unknown,yes,Reykjavik Open,no,Has no known involvement with Bitcoin or cryptocurrency. His main focus remains on chess,yes,Twitch: eljanovlive; YouTube: has YouTube videos including playlist of his games,,"Based on the research, Pavel Eljanov is an active Ukrainian grandmaster (rated 2656) who regularly participates in open tournaments including the Reykjavik Open and has competed globally in events like the Jerusalem Masters and London Chess Classic. Given his consistent tournament activity through 2024-2025 and history of traveling internationally for open events, he would be a plausible candidate to attend an open tournament in Honduras in Feb/March 2026, though no specific commitments for that period were found in the search results.",,
"Svane, Frederik",12923044,GM,2649,,,GER,2004,22,,,,,active,regularly,global,unknown,yes,FIDE World Fischer Random Chess Championship 2022,no,His rating is verified on the Algorand blockchain but there is no known connection to Bitcoin or cryptocurrency,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the search results, Frederik Svane appears to be an active competitive player who participates in international tournaments including the FIDE World Cup, Chess Olympiad, and events in Uzbekistan, suggesting he travels globally for chess. However, the research shows he typically plays in high-level invited tournaments and leagues like the German Bundesliga rather than open tournaments, and there's no evidence of him playing in Central American events. While his international activity level suggests travel willingness, an open tournament in Honduras would be atypical for his usual tournament pattern of major FIDE events and team competitions.",,
"Karthikeyan, Murali",5074452,GM,2648,,,IND,1999,27,,,,,unknown,regularly,global,unknown,yes,Fischer Random tournament where he placed third behind Banh Gia Huy,no,No known connection to Bitcoin or cryptocurrency,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the search results, Karthikeyan Murali appears to have a moderate to high likelihood of attending an open tournament in Honduras. He is an active grandmaster who regularly participates in international open tournaments including events in Spain (Menorca Open) and has recent activity in 2024-2025 with scheduled tournaments, indicating he travels globally for chess competitions. However, no information was found about his 2026 schedule or any previous tournament activity in the Americas, making it difficult to assess potential scheduling conflicts or his specific interest in Central American events.",,
"Theodorou, Nikolas",4262875,GM,2648,,,GRE,2000,26,,,,,active,regularly,global,unknown,yes,Chess960 and Fischer Random formats,no,No known connection to Bitcoin or cryptocurrency,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,2025/26 German Bundesliga,"Based on the research, Nikolas Theodorou is an active grandmaster who regularly participates in international tournaments including opens, team events, and prestigious tours across Europe, with confirmed activity through 2026 including the German Bundesliga. However, there is no evidence of him having played in the Americas region, and his tournament pattern appears focused on European events and major international competitions. While theoretically possible given his active status and willingness to travel internationally, an open tournament in Honduras would represent a significant departure from his established geographical tournament patterns.",,
"Grischuk, Alexander",4126025,GM,2645,,,RUS,1983,43,,,,,active,regularly,global,yes,yes,World Fischer Random Championship qualifier; Fischer Random Chess tournaments against Magnus Carlsen and Hikaru Nakamura,yes,"Participated in the FTX Crypto Chess Cup where Bitcoin was used as prize money, competed against Magnus Carlsen in notable chess events",yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,unknown,"Based on the research, Alexander Grischuk is an active grandmaster (rated 2645, ranked #73 globally) who regularly participates in open tournaments including the Aeroflot Open and has demonstrated global travel patterns, including recent participation in U.S. tournaments. However, there is no evidence in his tournament history of participating in Central American events, and top-rated players like Grischuk typically focus on prestigious international championships and major opens rather than smaller regional tournaments. While theoretically possible given his active status, attendance at an open tournament in Honduras would be unusual based on his established tournament patterns.",,
"Maroroa Jones, Gawain C B",409561,GM,2645,,,ENG,1987,39,,,,,active,regularly,global,unknown,unknown,,no,Explicitly stated he is not associated with Bitcoin or cryptocurrency,unknown,,,"Based on the search results, Gawain Maroroa Jones is an active grandmaster who regularly participates in open tournaments, including international events like the London Chess Classic and Dubai Open, suggesting he travels globally for chess competitions. However, with upcoming commitments in March 2025 (British Rapidplay Championships and FIDE World Rapid Teams Championships) and his high world ranking (#74), he would more likely prioritize major European tournaments or invitational events over smaller open tournaments. While possible, attendance at an open tournament in Honduras would be less probable given his typical tournament pattern favoring established, higher-profile events.",,
"Gurel, Ediz",44507356,GM,2645,,,TUR,2008,18,,,,,active,regularly,global,unknown,yes,Chess960 (Fischer Random) tournaments,no,No known connection to Bitcoin or cryptocurrency,yes,Twitch: unknown; YouTube: unknown,,"Based on the search results, Ediz Gurel is a highly active 17-year-old Turkish GM who regularly participates in major international tournaments including World Championships and FIDE events, indicating he travels globally for chess competitions. However, his tournament pattern appears focused on elite-level events rather than typical open tournaments, and there's no evidence of him playing in Central American events or smaller regional opens. While his high activity level suggests he could potentially attend, his focus on prestigious international competitions makes attendance at a Honduran open tournament unlikely unless it offers significant prize money or rating opportunities.",,
"Mamedov, Rauf",13401653,GM,2645,,,AZE,1988,38,,,,,unknown,regularly,global,unknown,yes,2025 Paris Freestyle Chess Grand Slam Play-In; online Fischer Random Chess tournaments,yes,"Participated in FTX Crypto Cup in 2023 which offered $100,000 in Bitcoin as part of its prize",yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the research, Rauf Mamedov is an active grandmaster who regularly participates in open tournaments including the FIDE Grand Swiss and European Individual Championship, with recent activity through 2025 showing continued competitive play. While he has demonstrated global travel patterns (competing in events like the Saudi eLeague) and no conflicts are identified for Feb/March 2026, there is no specific evidence of previous participation in Central American tournaments or Honduras specifically. His active status and willingness to travel internationally suggest attendance would be possible, though the lack of clear precedent for competing in that region makes it uncertain.",,
"Vokhidov, Shamsiddin",14204223,GM,2644,,,UZB,2002,24,,,,,active,regularly,global,unknown,yes,Chess960 (Fischer Random Chess) tournaments,no,No known connection to Bitcoin or cryptocurrency,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the research, Shamsiddin Vokhidov is an active 24-year-old Uzbekistani grandmaster (rated 2644, world #77) who regularly participates in international open tournaments, including recent events like the 2025 UzChess Cup Masters and FIDE World Championships. Given his consistent activity in global tournaments and willingness to travel internationally for chess events, he would be a plausible candidate to attend an open tournament in Honduras in Feb/March 2026. However, no specific 2026 commitments were found in the search results that would indicate conflicts with those dates.",,
"Safarli, Eltaj",13402129,GM,2644,,,AZE,1992,34,,,,,unknown,regularly,global,unknown,yes,European Fischer Random Chess Championship,no,No known connection to Bitcoin or cryptocurrency exists,yes,Twitch: unknown handle; YouTube: unknown handle,,"Based on the research, Eltaj Safarli appears to be an active grandmaster who regularly participates in international open tournaments, having competed in events like the Reykjavik Open and various Masters tournaments across multiple countries including Indonesia, Iceland, and the UAE. His consistent travel to diverse global locations and participation in open-format events suggests he would be a reasonable candidate to attend an open tournament in Honduras. However, no specific information about his 2026 schedule or previous activity in Central America was found in the search results.",,
"Vallejo Pons, Francisco",2205530,GM,2644,,,ESP,1982,44,,,,,active,regularly,global,unknown,yes,Chess960 and Fischer Random formats,no,Has no known association with Bitcoin or cryptocurrency,yes,Twitch: unknown; YouTube: unknown; Twitter: unknown,,"Based on the research, Francisco Vallejo Pons is an active grandmaster (rated 2644, ranked #77 globally) who regularly competes in international tournaments including Chess Olympiads and other prestigious events, indicating he does travel globally for chess competitions. However, his typical tournament pattern appears to focus on higher-level events like the Karpov International and national team competitions rather than open tournaments, and there's no evidence of him previously competing in Central America or similar regional open events. While possible given his active status, it would be somewhat unusual based on his established tournament preferences and travel history.",,
